,시군구,약국명칭,주소,전화번호
1399,광진구,쉐르빌대학약국,서울특별시 광진구 구의동 199번지 18호,02-447-9830
1400,광진구,메디파워약국,서울특별시 광진구 자양동 553번지 501호 1층 112호,456-1255
1401,광진구,햇님약국,서울특별시 광진구 중곡동 142번지 17호,02-777-0012
1402,광진구,새서울약국,서울특별시 광진구 구의동 47번지 19호,452-0251
1403,광진구,옵티마자양미소약국,서울특별시 광진구 자양2동 608번지 7호,02-453-7985
1404,광진구,화양백화점약국,서울특별시 광진구 군자동 356번지 6호,462-0095
1405,광진구,서문사랑약국,서울특별시 광진구 중곡동 29번지 41호 내담터,02-6489-1711
1406,광진구,명약국,서울특별시 광진구  463번지 3호 진넥스빌딩 101호,456-6155
1407,광진구,중곡메디칼약국,서울특별시 광진구 중곡동 123번지 1호,444-2377
1408,광진구,정약국,서울특별시 광진구 구의동 251번지 12호,3436-4580
1409,광진구,해동온누리약국,서울특별시 광진구 중곡동 124번지 8호,02-457-4110
1410,광진구,자양하나약국,서울특별시 광진구 자양동 653번지 47호 필산빌딩 104호,070-4400-6206
1411,광진구,더클래식약국,서울특별시 광진구 자양동 227번지 342호 더클래식500 1층 104-2호 (능동로 90),455-4565
1412,광진구,예일약국,서울특별시 광진구 구의동 221번지 1호,453-4341
1413,광진구,햇살온누리약국,서울특별시 광진구 화양동 10번지 1호,02-467-8667
1414,광진구,미래약국,서울특별시 광진구 군자동 345번지 20호,3409-4828
1415,광진구,일송약국,서울특별시 광진구 구의동 200번지 1호,452-5682
1416,광진구,하나약국,서울특별시 광진구 중곡동 89번지 10호,447-9708
1417,광진구,신백구약국,서울특별시 광진구 군자동 363번지 1호,02-467-7287
1418,광진구,군자종로약국,서울특별시 광진구 중곡동 157번지 4호,3437-2202
1419,광진구,종로온누리약국,서울특별시 광진구 자양1동 779번지 12호 101호,02-457-9550
1420,광진구,군자한마음약국,서울특별시 광진구 중곡동 157번지 7호 풍국빌딩,02-457-7077
1421,광진구,미소온누리약국,서울특별시 광진구 구의동 246번지 15호,
1422,광진구,중부고속약국,서울특별시 광진구 구의동 546번지 1호 동서울터미널빌딩,444-3672
1423,광진구,건강한약국,서울특별시 광진구 중곡동 115번지 9호,02-945-6363
1424,광진구,종합약국,서울특별시 광진구 중곡동 56번지 7호,452-4185
1425,광진구,메디팜백악관약국,서울특별시 광진구 중곡동 93번지 4호 1층,02-457-6363
1426,광진구,누리약국,서울특별시 광진구 자양동 612번지 60호 1층,02-446-0245
1427,광진구,디딤온누리약국,서울특별시 광진구 중곡동 115번지 12호 1층,02-456-9971
1428,광진구,인정온누리약국,서울특별시 광진구 자양동 653번지 34호,457-5167
1429,광진구,이층약국,서울특별시 광진구 자양동 855번지 205호,070-7795-8876
1430,광진구,정다운약국,서울특별시 광진구 중곡동 80번지 10호,02-456-7594
1431,광진구,착한약국,서울특별시 광진구 자양동 677번지 7호,02-453-5775
1432,광진구,온누리강변프라자약국,서울특별시 광진구 구의동 631번지 1호 현대프라임아파트,02-3437-3027
1433,광진구,천사약국,서울특별시 광진구 중곡동 166번지 4호,02-463-9380
1434,광진구,제중약국,서울특별시 광진구 중곡동 691번지 6호,467-8832
1435,광진구,푸른온누리약국,서울특별시 광진구 중곡동 639번지 2호,466-7675
1436,광진구,21세기약국,서울특별시 광진구 중곡동 124번지 56호,2201-9469
1437,광진구,치료의빛예은약국,서울특별시 광진구 자양동 250번지 21호,02-388-9633
1438,광진구,기쁨약국,서울특별시 광진구 중곡동 199번지 4호,02-488-2005
1439,광진구,중곡열린약국,서울특별시 광진구 중곡동 172번지 54호,462-4552
1440,광진구,화양종로약국,서울특별시 광진구 군자동 346번지 22호,463-0380
1441,광진구,조광옵티마약국,서울특별시 광진구 중곡동 230번지 1호,467-1088
1442,광진구,건대지하철약국,서울특별시 광진구 화양동 6번지 3호 7호선 건대입구역 지하상가2호,461-1401
1443,광진구,서울온누리약국,서울특별시 광진구 구의동 213번지 3호,455-5191
1444,광진구,군자세계로약국,서울특별시 광진구 군자동 478번지 5호 중앙빌딩1층(천호대로548),499-4719
1445,광진구,김&장 나라약국,서울특별시 광진구 화양동 4번지 20호 외 1필지 스타시티 영존 B201호,453-7398
1446,광진구,구의온누리약국,서울특별시 광진구 구의동 55번지 13호,456-8694
1447,광진구,삼육오약국,서울특별시 광진구 자양동 24번지 19호 (동일로 86),930-5035
1448,광진구,세계로약국,서울특별시 광진구 화양동 48번지 14호 삼영빌딩 1층,466-0253
1449,광진구,세명약국,서울특별시 광진구 중곡동 140번지 29호,447-2998
1450,광진구,웰빙서울온누리약국,서울특별시 광진구 자양동 553번지 323호,497-3092
1451,광진구,아나파약국,서울특별시 광진구 중곡동 169번지 29호 (면목로 168),466-2729
1452,광진구,정문대학약국,서울특별시 광진구 화양동 4번지 20호 외 1필지 스타시티영존 104호,2218-4545
1453,광진구,큰별약국,서울특별시 광진구 자양동 630번지 42호,457-4824
1454,광진구,초원약국,서울특별시 광진구 구의동 546번지 11호 강변지너스타워 102호,3436-8743
1455,광진구,서울제일약국,서울특별시 광진구 중곡동 241번지 34호,02-2205-2960
1456,광진구,다솜약국,서울특별시 광진구 구의동 665번지,447-7635
1457,광진구,우리들약국,서울특별시 광진구 중곡동 89번지 1호,452-7120
1458,광진구,센터온누리약국,서울특별시 광진구 중곡동 29번지 70호 성문빌딩,02-461-1045
1459,광진구,옵티마세란약국,서울특별시 광진구 자양동 631번지 1층,02-3436-9714
1460,광진구,백향목약국,서울특별시 광진구 구의동 611번지 구의현대2단지 종합상가 1층 112호,02-454-5656
1461,광진구,한길약국,서울특별시 광진구 군자동 130번지 8호,02-467-8231
1462,광진구,새동산약국,서울특별시 광진구 중곡동 31번지 38호 1층,02-446-1515
1463,광진구,광진온누리약국,서울특별시 광진구 광장동 425번지 2호,457-8377
1464,광진구,하하약국,서울특별시 광진구 중곡동 231번지 1호,02-466-6579
1465,광진구,태평양약국,서울특별시 광진구 자양동 681번지 1층,02-444-2539
1466,광진구,뉴우리약국,서울특별시 광진구 화양동 7번지 2호,02)2205-3366
1467,광진구,군자역우리약국,서울특별시 광진구 능동 276번지 2호 1층,02-457-2100
1468,광진구,소라약국,서울특별시 광진구 중곡동 193번지 51호,02-469-5566
1469,광진구,예담한약국,서울특별시 광진구 구의동 199번지 22호,02-537-1472
1470,광진구,프라자사랑약국,서울특별시 광진구 중곡동 649번지 8호,2205-4000
1471,광진구,광제사약국,서울특별시 광진구 중곡동 230번지 14호,02-464-1832
1472,광진구,건대가온약국,서울특별시 광진구 화양동 527번지,453-4669
1473,광진구,하늘약국,서울특별시 광진구 구의동 201번지 8호 진넥스 베르디엠 202호,02-2201-0955
1474,광진구,정담은한약국,서울특별시 광진구 중곡동 647번지 24호 202호,02-469-9985
1475,광진구,100세약국,서울특별시 광진구 자양동 616번지 24호 유일빌딩,02-444-0274
1476,광진구,다온약국,서울특별시 광진구 중곡동 241번지 17호,02-499-7590
1477,광진구,백온누리약국,서울특별시 광진구 중곡동 198번지 4호,466-4696
1478,광진구,한솔약국,서울특별시 광진구 광장동 337번지 1호,02-2201-3581
1479,광진구,소망온누리약국,서울특별시 광진구 중곡동 158번지 19호,02-2201-2236
1480,광진구,봄약국,서울특별시 광진구 자양동 608번지 19호,02-454-6088
1481,광진구,미소온누리약국,서울특별시 광진구 구의동 246번지 15호 원이빌딩 1층,02-455-6813
1482,광진구,우리온누리약국,서울특별시 광진구 구의동 199번지 1호,02-458-5669
1483,광진구,라임약국,서울특별시 광진구 구의동 246번지 14호 크레신타워3차,02-453-0770
1484,광진구,신승보약국,서울특별시 광진구 자양동 52번지 193호 1층,02-468-0193
1485,광진구,대화약국,서울특별시 광진구 군자동 184번지 나성빌딩 1층,02-467-4542
1486,광진구,청구약국,서울특별시 광진구 광장동 470번지 3호 진넥스 오딧세이,02-2201-6688
1487,광진구,성원약국,서울특별시 광진구 구의동 66번지 82호 1층,02-457-7978
1488,광진구,힘찬약국,서울특별시 광진구 자양동 635번지 28호 1층,02-454-1221
1489,광진구,튼튼온누리약국,서울특별시 광진구 구의동 218번지 37호 1층,02-447-2999
1490,광진구,굿모닝약국,서울특별시 광진구 자양동 779번지 11호 구의 현대 하이엘 401-1호,454-2486
1491,광진구,광진프라자약국,서울특별시 광진구 중곡동 231번지 8호 1층,466-0652
1492,광진구,메디칼약국,서울특별시 광진구 군자동 356번지 10호,02-468-0259
1493,광진구,워커힐약국,서울특별시 광진구 광장동 22번지 1호 워커힐호텔,02-457-4566
1494,광진구,행복한약국,서울특별시 광진구 자양동 625번지 30호 1층,02-447-7114
1495,광진구,현대온누리약국,서울특별시 광진구 구의동 546번지 4호 테크노-마트21 지하1층 D-12호,02-3424-1120
1496,광진구,새수정온누리약국,서울특별시 광진구 중곡동 116번지 5호 명클리닉 1층 101호,02-446-3116
1497,구로구,기린약국,서울특별시 구로구 구로동 486번지 50호,866-7100
1498,구로구,서울센타약국,서울특별시 구로구 구로동 413번지 44호,
1499,구로구,장약국,서울특별시 구로구 구로동 40번지 12호,
1500,구로구,온누리십자당약국,서울특별시 구로구 구로동 415번지 3호,02-869 -9103
1501,구로구,훼미리약국,서울특별시 구로구 고척동 253번지 116호,02-2688-0194
1502,구로구,새하늘약국,서울특별시 구로구 개봉동 481번지 현대아파트제상가 2동 211호,02-2625-1585
1503,구로구,세진약국,서울특별시 구로구 개봉동 403번지 53호 2층,2060-0875
1504,구로구,구림약국,서울특별시 구로구 가리봉동 127번지 11호,02-856 -0619
1505,구로구,동성약국,서울특별시 구로구 가리봉동 123번지 49호,02-854 -3357
1506,구로구,백두약국,서울특별시 구로구 오류동 155번지 8호,02-2689-6576
1507,구로구,태영프라자약국,서울특별시 구로구 신도림동 437번지 1호 태영프라자 108호,02-2068-5733
1508,구로구,대학약국,서울특별시 구로구 구로동 704번지 58호,02-865 -4910
1509,구로구,대성약국,서울특별시 구로구 개봉동 359번지 13호 성은빌딩 1층,02-2066-0120
1510,구로구,유풍약국,서울특별시 구로구 고척동 76번지 151호,02-2618-9311
1511,구로구,진솔약국,서울특별시 구로구 오류동 37번지 7호,02-2060-0906
1512,구로구,주차장바로약국,서울특별시 구로구 구로동 80번지 1호,8303383
1513,구로구,1번약국,서울특별시 구로구 구로동 731번지 3호 1층,851-1155
1514,구로구,대림우리약국,서울특별시 구로구 구로동 147번지 3호,
1515,구로구,조은약국,서울특별시 구로구 궁동 170번지 11호,2616-3008
1516,구로구,우리약국,서울특별시 구로구 오류동 137번지 8호 대성빌딩1층102,2066-0681
1517,구로구,플러스약국,서울특별시 구로구 신도림동 337번지 신도림프르지오 1차상가 178호,3439-8855
1518,구로구,미래약국,서울특별시 구로구 구로동 704번지 7호,02-852 -0270
1519,구로구,옵티마건강약국,서울특별시 구로구 개봉동 146번지 5호,2060-2541
1520,구로구,태양약국,서울특별시 구로구 오류동 10번지 1호,2685-1017
1521,구로구,건강샘온누리약국,서울특별시 구로구 신도림동 337번지,02-3439-8373
1522,구로구,건강온누리약국,서울특별시 구로구 개봉동 33번지 31호,02-2625-3337
1523,구로구,큰사랑약국,서울특별시 구로구 구로동 313번지 21호,
1524,구로구,자명약국,서울특별시 구로구 가리봉동 127번지 10호,02-867 -6968
1525,구로구,세종당약국,서울특별시 구로구 개봉동 465번지 11호,02-2612-4900
1526,구로구,늘사랑약국,서울특별시 구로구 개봉동 361번지 3호,02-2612-3337
1527,구로구,타워약국,서울특별시 구로구 구로동 212번지 8호,02-868 -3878
1528,구로구,용해약국,서울특별시 구로구 구로동 748번지 1호,02-863 -4867
1529,구로구,온누리최정숙약국,서울특별시 구로구 고척동 76번지 41호 일이삼전자타운3동 1층 1221호,02-2612-2040
1530,구로구,종로약국,서울특별시 구로구 고척동 253번지 200호,02-2612-3986
1531,구로구,한마을약국,서울특별시 구로구 개봉동 476번지 한마을@상가  1동 110호,02-2613-3006
1532,구로구,온누리사랑의약국,서울특별시 구로구 구로동 717번지 34호,02-862 -2884
1533,구로구,대웅프라자약국,서울특별시 구로구 구로동 1267번지 태영상가 1동 105호,02-839 -2276
1534,구로구,정광약국,서울특별시 구로구 개봉동 203번지 6호,02-2687-2983
1535,구로구,하늘약국,서울특별시 구로구 구로동 1126번지 34호 1층,
1536,구로구,좋은약국,서울특별시 구로구 개봉동 173번지 1호,02-2615-6999
1537,구로구,맑은약국,서울특별시 구로구 개봉동 415번지 개봉역사내3층,02-2617-2190
1538,구로구,은성약국,서울특별시 구로구 신도림동 309번지 6호 성광메디칼빌딩 110호,02-2636-9150
1539,구로구,열린약국,서울특별시 구로구 고척동 253번지 194호 195,02-2625-6040
1540,구로구,부부약국,서울특별시 구로구 오류동 148번지 24호,02-2688-0151
1541,구로구,은하약국,서울특별시 구로구 개봉동 403번지 101호,02-2612-5579
1542,구로구,온누리자혜약국,서울특별시 구로구 개봉동 403번지 204호,02-2687-2770
1543,구로구,메디신약국,서울특별시 구로구 고척동 38번지 8호 보광빌딩 1층,02-2687-0322
1544,구로구,생천온누리약국,서울특별시 구로구 신도림동 437번지 1호 태영프라자 306호,02-2676-9991
1545,구로구,새튼튼약국,서울특별시 구로구 신도림동,
1546,구로구,그린프라자약국,서울특별시 구로구 구로동 754번지 5호,02-861 -6553
1547,구로구,온누리한라약국,서울특별시 구로구 구로동 685번지 154호 다원그린빌 101-1호,02-862 -0157
1548,구로구,늘푸른약국,서울특별시 구로구 구로동 127번지 45호,02-851 -0601
1549,구로구,햇살약국,서울특별시 구로구 신도림동 338번지 대우푸르지오2차 101동 311호,
1550,구로구,한솔약국,서울특별시 구로구 오류1동 34-12,02-2613-5613
1551,구로구,메디팜제일약국,서울특별시 구로구 궁동 212-10 2층,02-2684-3804
1552,구로구,동의당한약국,서울특별시 구로구 구로동 771번지 38호,02-852 -4852
1553,구로구,덕우약국,서울특별시 구로구 구로동 317번지 11호,02-861 -0085
1554,구로구,아침햇살약국,서울특별시 구로구 구로3동 1125번지 6호,858-4484
1555,구로구,연세온누리약국,,2607-7900
1556,구로구,녹십자약국,서울특별시 구로구 구로2동,02-830-0222
1557,구로구,지성약국,서울특별시 구로구 구로동 111번지 16호,909-2062
1558,구로구,흥부약국,서울특별시 구로구 구로동 8번지 12호 외3필지,02-862 -6804
1559,구로구,정문약국,서울특별시 구로구 구로동 704번지 59호,
1560,구로구,정제약국,서울특별시 구로구 개봉동 302번지 16호,02-2612-9308
1561,구로구,조아약국,서울특별시 구로구 구로동 585번지 3호 구로구역내,
1562,구로구,구민옵티마약국,서울특별시 구로구 구로동 74번지 30호 현대상가 1층 3호,02-866 -8758
1563,구로구,명문약국,서울특별시 구로구 구로동 1124번지 1호,02-855 -8732
1564,구로구,바다약국,서울특별시 구로구 구로동 98번지 대림오페라타워 3층 303호,02-869 -2485
1565,구로구,두산약국,서울특별시 구로구 구로동,859-6414
1566,구로구,참좋은약국,서울특별시 구로구 구로동 501번지,
1567,구로구,칠성약국,서울특별시 구로구 궁동 189번지 25호,02-2618-6465
1568,구로구,정성약국,서울특별시 구로구 고척동 72번지 7호 문화골든타워 2층,
1569,구로구,W스토아청와약국,서울특별시 구로구 가리봉동 131번지 14호,02-855 -1482
1570,구로구,새서울약국,서울특별시 구로구 구로동 98번지 4호 대림역와이즈플레이스,02-862-0268
1571,구로구,연세열린약국,서울특별시 구로구 개봉동 403번지 88호,02-2683-9003
1572,구로구,대림약국,서울특별시 구로구 신도림동 642번지 대림2차 주상가동 209호,2679-3553
1573,구로구,성인약국,서울특별시 구로구 개봉동 403번지 95호,02-2682-2643
1574,구로구,구로메디칼약국,서울특별시 구로구 고척동 63번지 11호 277-42,02-2614-3206
1575,구로구,종로프라자약국,서울특별시 구로구 구로동 142번지 62호,02-839 -7422
1576,구로구,독일약국,서울특별시 구로구 궁동 283번지 3호 1층,02-2681-9495
1577,구로구,하나약국,서울특별시 구로구 구로동 461번지 5호,02-851 -9945
1578,구로구,디큐브약국,서울특별시 구로구 신도림동 692번지 디큐브시티 타워동 지하1층,02-2211-0227
1579,구로구,메디칼바른약국,서울특별시 구로구 구로동 553번지 7호 대영빌딩 1층,02-866 -1914
1580,구로구,황금당약국,서울특별시 구로구 구로동,861-7585
1581,구로구,우산약국,서울특별시 구로구 구로동,839-4551
1582,구로구,제일약국,,2612-7787
1583,구로구,우리네온누리약국,,853-2614
1584,구로구,차기정약국,서울특별시 구로구 개봉동 356번지 9호,02-2687-7712
1585,구로구,비타민약국,서울특별시 구로구 구로동 722번지 1호 청보빌딩,02-864-7508
1586,구로구,환도약국,서울특별시 구로구 구로동 685번지 70호 현대연예인@상가 101호,02-866 -8569
1587,구로구,개봉지예당약국,서울특별시 구로구 개봉동 124번지 22호,
1588,구로구,정약국,서울특별시 구로구 개봉동 403번지 55호,02-2681-9577
1589,구로구,구로종로약국,서울특별시 구로구 오류동 41번지 1호,02-2688-0155
1590,구로구,수약국,서울특별시 구로구 고척동 224번지 1호,02-2611-5435
1591,구로구,오류중앙약국,서울특별시 구로구 오류동 40번지 4호,02-2625-3338
1592,구로구,그린약국,서울특별시 구로구 구로동 191번지 7호,
1593,구로구,일등약국,,853-1118
1594,구로구,시장약국,서울특별시 구로구 고척동 46번지 39호,02-2681-3535
1595,구로구,바른약국,서울특별시 구로구 구로동 612번지 13호 영삼빌딩,
1596,구로구,구로프라자약국,서울특별시 구로구 개봉동 403번지 157호,2613-6044
1597,구로구,구로시장약국,서울특별시 구로구 구로동 730번지 14호,02-854 -1385
1598,구로구,에이스약국,서울특별시 구로구 구로동 212번지 1호 에이스트윈타워 1차 104호,02-2109-5208
1599,구로구,스타약국,서울특별시 구로구 구로동 603번지 9호 스타팰리스빌딩 105호,02-2678-2484
1600,구로구,한독프라자약국,서울특별시 구로구 구로동 313번지 1호,02-856 -9843
1601,구로구,세계로온누리약국,서울특별시 구로구 신도림동,2631-7351
1602,구로구,구로약국,서울특별시 구로구 구로동 704번지 10호 MEDI FLOWER 147,02-865-1122
1603,구로구,새우리약국,서울특별시 구로구 개봉동 403번지 206호 강서프라자 2층,2060-9918
1604,구로구,한마음약국,,02-865-0511
1605,구로구,부강약국,서울특별시 구로구 고척동,262-0861
1606,구로구,드림약국,서울특별시 구로구 구로동 142번지 76호 평안빌딩,02-865-3784
1607,구로구,제생약국,서울특별시 구로구 개봉동 370번지 2호,02-2617-4570
1608,구로구,원일약국,서울특별시 구로구 고척동 197번지 1호,02-2612-3765
1609,구로구,개미프라자약국,서울특별시 구로구 구로동 412번지 6호,02-854 -6128
1610,구로구,사랑약국,,2633-2636
1611,구로구,믿음약국,서울특별시 구로구 개봉동 33번지 30호,2060-7191
1612,구로구,온수약국,서울특별시 구로구 온수동 23번지 10호,02-2683-0262
1613,구로구,재훈약국,서울특별시 구로구 구로동 1132번지 7호,02-854 -2250
1614,구로구,상산약국,서울특별시 구로구 고척동 76번지 23호,2066-6361
1615,구로구,참온누리약국,서울특별시 구로구 오류동 306번지 4호,
1616,구로구,샘물약국,서울특별시 구로구 구로동 736번지 3호,839-2483
1617,구로구,메디팜동진약국,서울특별시 구로구 구로동 142번지 65호,028696283
1618,구로구,은약국,서울특별시 구로구 구로동 1126번지 1호,
1619,구로구,푸른약국,,02-2689-9856
1620,구로구,인정약국,서울특별시 구로구 오류동 159번지,0236660500
1621,구로구,남구로약국,,02-838-3104
1622,구로구,더블유스토어푸른약국,서울특별시 구로구 구로동 141번지 5호,855-6007
1623,구로구,수정약국,서울특별시 구로구 개봉동 156번지 5호 대림프라자 401호,02-2613-5195
1624,구로구,한빛약국,서울특별시 구로구 오류동 77번지 1호 3층,02-2625-6679
1625,구로구,505약국,서울특별시 구로구 구로동 505번지 10호,02-856 -5050
1626,구로구,신효약국,서울특별시 구로구 구로동 808번지 10호,02-855 -5796
1627,구로구,뿌리약국,서울특별시 구로구 구로동 1258번지 중앙유통상가 지하 c-11호,02-2687-3966
1628,구로구,초지약국,서울특별시 구로구 구로동 497번지 5호,02-866 -4098
1629,구로구,아름솔약국,서울특별시 구로구 구로동 1258번지 중앙유통상가 A 02-01호,02-2617-1849
1630,구로구,보광약국,서울특별시 구로구 구로동 424번지 17호,02-867 -6354
1631,구로구,나은약국,서울특별시 구로구 구로동 317번지 91호,02-830-4019
1632,구로구,온누리좋은약국,서울특별시 구로구 구로동 83번지 3호,
1633,구로구,동해물약국,서울특별시 구로구 구로동 730번지 60호,02-863 -5333
1634,구로구,래미안나나약국,서울특별시 구로구 구로동 256번지 1호 삼성래미안상가 1층 1131호,
1635,구로구,현대파크빌약국,서울특별시 구로구 구로동 108번지 현대파크빌 101호,02-868 -5116
1636,구로구,장수약국,서울특별시 구로구 고척동 46번지 25호,02-2683-2865
1637,구로구,참조은약국,서울특별시 구로구 고척동 63번지 9호,02-2617-5546
1638,구로구,365열린약국,,3666-0784
1639,구로구,오류온누리약국,서울특별시 구로구 오류동 39번지 5호,2612-7156
1640,구로구,대우프라자약국,서울특별시 구로구 고척동 192번지 1층,2686-2360
1641,구로구,모스팜약국,서울특별시 구로구 구로동 3번지 25호 신도림테크노마트,02-2111-1222
1642,구로구,대우약국,,2684-9752
1643,구로구,해솔약국,서울특별시 구로구 고척동 73번지 3호 일이삼전자타운,
1644,구로구,온누리백제약국,,02-2619-6150
1645,구로구,구일중앙약국,,02-866-9155
1646,구로구,신도약국,,02-2681-6000
1647,구로구,제이약국,서울특별시 구로구 구로동 811번지 코오롱싸이언스밸리2차 214-1호,02-857-7557
1648,구로구,정수메디칼약국,서울특별시 구로구 구로동 100번지 8호 신안타워,02-851-7520
1649,구로구,민트약국,,02-2678-137
1650,구로구,시티프라자약국,,02)3666-0686
1651,구로구,라라약국,,20604063
1652,구로구,백세비타민약국,서울특별시 구로구 구로동 830번지 1호,070-8834-1809
1653,구로구,상아약국,,2687-0456
1654,구로구,후문약국,,02-851-2811
1655,구로구,다나약국,,02-2611-3393
1656,구로구,한중약국,,863-8575
1657,구로구,강서약국,,26897109
1658,구로구,태영약국,서울특별시 구로구 구로동 8번지 17호,858-5597
1659,구로구,개성약국,서울특별시 구로구 오류동 44번지 10호 시티월드,26151862
1660,구로구,즐거운약국,,2685-5675
1661,구로구,다드림약국,,02-858-1213
1662,구로구,신도림제일약국,서울특별시 구로구 구로동 26번지 2호 세아베스틸,02-858-7170
1663,구로구,구로솔약국,,2689-9131
1664,구로구,태평양약국,,2684-2324
1665,구로구,해솔온누리약국,,
1666,구로구,초록약국,서울특별시 구로구 구로동 685번지 70호 현대연예인@상가 204호,867-2067
1667,구로구,구로미소약국,서울특별시 구로구 오류동 135번지 73호,02-2615-0766
1668,구로구,한사랑약국,서울특별시 구로구 신도림동 400번지 1호,02-2675-1081
1669,구로구,성심약국,서울특별시 구로구 오류동 51번지 31호 포스시티,02-2687-1489
1670,구로구,팜프라자약국,,6344-3990
1671,구로구,세명약국,,26157570
1672,구로구,아이사랑태평양약국,서울특별시 구로구 구로동 586번지 5호 삼전솔하임,
1673,구로구,수태평양약국,,
1674,구로구,미문약국,서울특별시 구로구 구로동 808번지 38호 동해빌딩,02-838-7020
1675,구로구,굿모닝약국,,2684-9758
1676,구로구,보건당약국,서울특별시 구로구 구로동 313번지 111호,02-856-7768
1677,구로구,코끼리약국,서울특별시 구로구 천왕동 277번지 12호 천왕에이스프라자,2066-7525
1678,구로구,굿모닝온누리약국,,26368123
1679,금천구,이화약국,서울특별시 금천구 독산동 178번지 2호,856-1228
1680,금천구,건강플러스약국,서울특별시 금천구 독산동 291번지 7호,890-8058
1681,금천구,현대온누리약국,,2062-2655
1682,금천구,비즈메드약국,서울특별시 금천구 시흥1동 889번지 8호,02-807-9284
1683,금천구,나래약국,,070-8886-9369
1684,금천구,은약국,서울특별시 금천구 시흥동 883번지 11호,806-1203
1685,금천구,삼화약국,시흥1동 905-8,803-4167
1686,금천구,세명당약국,시흥1동 883-15,803-3481
1687,금천구,영광약국,독산1동 144-57,855-8851
1688,금천구,신보생약국,독산3동 970-31,856-1542
1689,금천구,새보은약국,시흥4동 802-38,802-3077
1690,금천구,경일약국,시흥1동 869-28,802-9104
1691,금천구,문성당약국,독산2동 1039-20,804-5360
1692,금천구,명수약국,독산3동 988-13,854-6846
1693,금천구,명보약국,시흥3동 954,803-2384
1694,금천구,정명약국,독산1동 291-56 시티렉스 410호,893-3550
1695,금천구,삼명약국,시흥4동 819-8,802-9393
1696,금천구,도영약국,시흥4동 794-11,803-6686
1697,금천구,형제약국,시흥5동 828-41,803-4973
1698,금천구,다보약국,시흥3동 954-10,802-8788
1699,금천구,세종약국,독산2동 1042-9,806-3224
1700,금천구,대제일약국,독산3동 165-11,857-2166
1701,금천구,정진약국,독산2동 1040-88,805-3541
1702,금천구,수도약국,독산1동 335-1,855-3052
1703,금천구,메디팜대안약국,독산2동 1031-27 102호,803-8452
1704,금천구,새남부약국,독산3동 899-1,855-1241
1705,금천구,천세약국,독산2동 1077-37,802-4303
1706,금천구,전진상약국,시흥5동 200-2,802-9314
1707,금천구,정암산약국,시흥1동 903,803-8822
1708,금천구,유아약국,독산2동 1053,804-0785
1709,금천구,온누리동아약국,독산1동 292-89,804-0582
1710,금천구,별장약국,시흥5동 918-20,807-6360
1711,금천구,시흥프라자약국,시흥1동 856-24,804-9300
1712,금천구,녹수프라자약국,독산2동 1037-17,802-1510
1713,금천구,진한약국,가산동 43-1,855-2728
1714,금천구,녹십자약국,시흥3동 940-10,805-6743
1715,금천구,소망약국,독산4동 196-44,855-2054
1716,금천구,건강한약국,독산3동 950-2,866-1191
1717,금천구,시민약국,서울특별시 금천구 시흥동 856번지 22호,802-4246
1718,금천구,약나라약국,서울특별시 금천구 시흥동 940번지 3호,803-7071
1719,금천구,독산종로약국,독산3동 960-14,839-8197
1720,금천구,장수약국,시흥3동 985-7,808-0193
1721,금천구,명신약국,시흥5동 248-9,807-8767
1722,금천구,굿모닝약국,독산3동 950,852-4910
1723,금천구,대한약국,시흥5동 830,805-5011
1724,금천구,늘푸른건강약국,독산1동 332-41,809-8361
1725,금천구,삼층약국,시흥1동 890-10,895-6504
1726,금천구,구인약국,가산동 458-15,858-2335
1727,금천구,프라자약국,서울특별시 금천구 가산동 371번지 28호,2026-0011
1728,금천구,남문프라자약국,독산3동159-1718,837-5550~2
1729,금천구,무림약국,독산4동 286-13,858-7138
1730,금천구,한울약국,서울특별시 금천구 시흥동 852번지 29호,809-3323
1731,금천구,미래팜약국,독산3동 991-44 1층,862-6688
1732,금천구,행복한우리약국,서울특별시 금천구 시흥동 830번지 13호,808-7911
1733,금천구,대명약국,,866-2728
1734,금천구,하이온누리약국,,02-2624-0770
1735,금천구,고성희약국,시흥5동 926-13,808-3616
1736,금천구,금천약국,,6224-8648
1737,금천구,박애약국,서울특별시 금천구 독산동 146번지 1호,855-9558
1738,금천구,대우당약국,서울특별시 금천구 시흥동 921번지 1호,808-8960
1739,금천구,늘사랑온누리약국,서울특별시 금천구 시흥동 1013번지,
1740,금천구,현약국,서울특별시 금천구 가산동 371번지 59호  신한이노플렉스 1층 103호,830-4040
1741,금천구,윤경약국,서울특별시 금천구 독산1동 901번지 6호,802-5639
1742,금천구,참약국,서울특별시 금천구 독산동 876번지 2호,859-6981
1743,금천구,성가약국,서울특별시 금천구 독산3동 884번지 5호,861-5498
1744,금천구,코끼리약국,,02-809-8890
1745,금천구,하늘약국,서울특별시 금천구 시흥동 912번지 20호 에벤에셀프라자 306호,809-8019
1746,금천구,명약국,독산1동 145-8,851-5672
1747,금천구,백산온누리약국,서울특별시 금천구 시흥동 1013번지 7호,802-2380
1748,금천구,성문약국,서울특별시 금천구 독산동 1088번지 1호,893-9098
1749,금천구,봄약국,서울특별시 금천구 가산동 691번지 3호 더루벤스밸리,839-0492
1750,금천구,가산약국,,838-1158
1751,금천구,한사랑약국,서울특별시 금천구 시흥동 113번지 115호,856-3588
